 Sent	Best	#Gold	#Best	#Corr	f-score
 1	15	18	18	16	0.888889
 2	4	10	10	10	1
 3	33	27	27	27	1
 4	0	22	23	19	0.844444
 5	4	25	24	24	0.979592
 6	24	26	22	19	0.791667
 7	9	13	13	13	1
 8	13	20	20	20	1
 9	5	25	25	25	1
 10	1	19	19	19	1
 11	15	22	22	22	1
 12	8	24	24	21	0.875
 13	18	35	36	34	0.957747
 14	8	27	27	27	1
 15	26	20	20	20	1
 16	10	13	13	13	1
 17	9	27	27	27	1
 18	20	15	15	15	1
 19	2	22	22	21	0.954545
 20	8	20	20	20	1
 21	26	16	16	16	1
 22	4	14	14	14	1
 23	21	24	24	20	0.833333
 24	0	1	1	1	1
 25	7	25	25	24	0.96
 26	1	1	1	1	1
 27	3	1	1	1	1
 28	67	15	16	12	0.774194
 29	1	1	1	1	1
 30	0	26	27	26	0.981132
 31	10	19	19	18	0.947368
 32	0	14	14	13	0.928571
 33	28	13	13	13	1
 34	44	35	33	32	0.941176
 35	17	31	33	30	0.9375
 36	1	18	18	18	1
 37	18	25	23	23	0.958333
 38	0	12	12	11	0.916667
 39	19	22	21	18	0.837209
 40	2	17	17	17	1
 41	9	10	10	10	1
 42	17	23	22	21	0.933333
 43	0	11	11	10	0.909091
 44	13	16	17	15	0.909091
 45	0	2	4	0	0
 46	2	12	12	12	1
 47	1	11	11	10	0.909091
 48	22	26	27	16	0.603774
 49	13	21	21	21	1
 50	27	18	18	18	1
 51	15	23	23	23	1
 52	0	3	3	3	1
 53	11	29	30	28	0.949153
 54	1	9	9	9	1
 55	26	8	8	8	1
 56	32	41	41	40	0.97561
 57	18	22	22	20	0.909091
 58	36	25	25	25	1
 59	34	12	12	11	0.916667
 60	15	14	14	14	1
 61	17	12	13	12	0.96
 62	29	21	22	20	0.930233
 63	30	35	35	34	0.971429
 64	9	16	16	16	1
 65	45	31	31	27	0.870968
 66	48	18	18	18	1
 67	9	20	19	19	0.974359
 68	1	11	11	11	1
 69	7	28	27	21	0.763636
 70	30	30	30	25	0.833333
 71	1	6	6	5	0.833333
 72	26	22	22	22	1
 73	2	13	13	13	1
 74	2	43	43	34	0.790698
 75	2	39	34	29	0.794521
 76	23	12	12	12	1
 77	7	16	16	16	1
 78	7	7	7	7	1
 79	2	5	5	5	1
 80	2	8	8	8	1
 81	6	32	32	32	1
 82	2	23	23	23	1
 83	39	33	34	33	0.985075
 84	3	18	18	18	1
 85	0	51	48	48	0.969697
 86	0	39	40	37	0.936709
 87	15	14	15	14	0.965517
 88	3	28	29	27	0.947368
 89	16	27	27	27	1
 90	1	10	10	10	1
 91	0	23	24	23	0.978723
 92	2	42	43	33	0.776471
 93	1	24	24	24	1
 94	9	29	29	29	1
 95	18	34	35	33	0.956522
 96	4	20	20	20	1
 97	7	26	26	26	1
 98	14	17	15	14	0.875
 99	3	9	9	9	1
 100	0	20	20	20	1
 101	16	17	17	17	1
 102	13	18	17	17	0.971429
 103	3	12	8	8	0.8
 104	9	28	29	28	0.982456
 105	16	25	24	24	0.979592
 106	0	11	11	11	1
 107	14	11	11	11	1
 108	2	27	26	24	0.90566
 109	0	27	27	27	1
 110	7	15	15	15	1
 111	6	10	9	9	0.947368
 112	8	19	20	18	0.923077
 113	0	17	16	16	0.969697
 114	1	9	9	9	1
 115	31	15	15	15	1
 116	19	17	17	17	1
 117	2	36	35	33	0.929577
 118	8	21	19	17	0.85
 119	10	8	8	8	1
 120	2	14	14	14	1
 121	4	14	14	14	1
 122	18	12	12	12	1
 123	7	12	12	12	1
 124	3	18	18	18	1
 125	2	15	15	15	1
 126	5	23	20	20	0.930233
